id,sub_organ_code,ownership_percent,organ_name,type,symbol
22252888,TAC,0.2654,Công ty Cổ phần Dầu Thực vật Tường An,công ty liên kết,VOC
22252663,0101889875,1.0,Công ty Cổ phần Công Nghệ EPI,công ty con,VNZ
22252664,0105976790,1.0,Công ty TNHH Zie,công ty con,VNZ
22252665,0106180708,1.0,Công ty TNHH VNG Online,công ty con,VNZ
22252666,0305418909,0.995,Công ty CP Dịch Vụ Mạng Vi Na,công ty con,VNZ
22252667,0310964981,1.0,Công ty TNHH Phát Triển Phần Mềm Vng,công ty con,VNZ
22252668,0317152763,0.698,Công ty Cổ Phần A4b,công ty con,VNZ
22252669,0317231038,1.0,Công Ty TNHH Verichains,công ty con,VNZ
22252670,0317484078,0.35,Công ty Cổ phần Phát Triển Phần Mềm VTH,công ty con,VNZ
22252671,0401510382,1.0,Công ty TNHH Zingplay Việt Nam,công ty con,VNZ
22252672,2348955,1.0,Quỹ kiến tạo ước mơ,công ty con,VNZ
22252673,VINADATA,0.99989,Công ty Cổ Phần Dịch Vụ - Dữ Liệu Công Nghệ Thông Tin Vi Na,công ty con,VNZ
22252674,0313249098,0.2727,Công ty Cổ phần Dayone,công ty liên kết,VNZ
22252675,0314715626,0.2394,Công ty CP Công Nghệ Ecotruck,công ty liên kết,VNZ
22252676,0317484078,0.35,Công ty Cổ phần Phát Triển Phần Mềm VTH,công ty liên kết,VNZ
22252677,F000007884,0.1655,Telio Pte.ltd,công ty liên kết,VNZ
22252678,F000007978,0.0354,Funding Asia Group Pte. Ltd.,công ty liên kết,VNZ
22252876,HANOTRANS,1.0,Công ty TNHH Giao Nhận Vận Tải Hà Thành,công ty con,VNT
22252877,0201641148,0.2666,Công ty Cổ Phần Cảng Mipec,công ty liên kết,VNT
22252878,TMS,0.0,Công ty Cổ phần Transimex,công ty liên kết,VNT
22252879,VNF,0.0,Công ty Cổ phần Vinafreight,công ty liên kết,VNT
22252880,VNL,0.0,Công ty Cổ phần Logistics Vinalink,công ty liên kết,VNT
22252754,10938,0.639,Công ty Cổ Phần Đầu Tư Vinare.,công ty con,VNR
22252755,SSVI,0.25,Công ty Liên Doanh Bảo Hiểm Samsung Vina,công ty liên kết,VNR
22252747,PLASTRACO,1.0,Công ty TNHH MTV Thương mại và Dịch vụ Nhựa Số Một,công ty con,VNP
22252748,TRAPLAST,1.0,Công ty TNHH MTV Thương Mại Và Dịch Vụ Nhựa Trường An,công ty con,VNP
22252749,VINAPLASTTRA,1.0,Công ty TNHH Thương Mại Và Dịch Vụ Nhựa Việt Nam,công ty con,VNP
22252750,VIPLAST,0.9952,Công ty Cổ phần Nhựa Việt Phước,công ty con,VNP
22252751,TPCVINA,0.15,Công ty TNHH Nhựa Và Hóa Chất TPC Vina,công ty liên kết,VNP
