time,open,high,low,close,volume,symbol,category
2024-09,43.0,46.2,41.55,46.0,56089800,FTS,stock
2024-10,46.4,47.2,40.5,41.8,42535100,FTS,stock
2024-11,41.6,44.2,39.15,42.0,36811600,FTS,stock
2024-12,42.45,44.45,40.05,42.2,37659500,FTS,stock
2020-01,61.69,65.18,56.62,56.95,4778330,GAS,stock
2020-02,55.96,58.79,49.45,49.91,5830920,GAS,stock
2020-03,49.77,54.58,35.49,36.08,14150380,GAS,stock
2020-04,36.01,45.76,36.01,41.74,18625050,GAS,stock
2020-05,42.8,50.24,41.87,48.98,17760430,GAS,stock
2020-06,49.31,52.34,44.77,45.43,12576450,GAS,stock
2020-07,45.76,50.83,43.72,45.24,13453320,GAS,stock
2020-08,45.1,51.8,45.03,51.18,12295670,GAS,stock
2020-09,51.18,52.63,48.97,49.24,14374980,GAS,stock
2020-10,49.38,53.11,48.35,48.62,20400730,GAS,stock
2020-11,48.69,59.46,47.93,57.67,27232250,GAS,stock
2020-12,56.63,61.19,56.49,59.81,24754520,GAS,stock
2021-01,60.71,65.4,50.07,52.7,22644300,GAS,stock
2021-02,53.04,62.5,51.45,61.67,18059500,GAS,stock
2021-03,62.37,66.3,59.4,61.95,18239200,GAS,stock
2021-04,62.02,63.33,55.39,57.67,18379000,GAS,stock
2021-05,57.32,59.81,55.11,57.05,14567900,GAS,stock
2021-06,58.64,69.04,57.74,66.26,26602400,GAS,stock
2021-07,66.61,69.46,60.56,63.84,17777500,GAS,stock
2021-08,64.83,70.46,60.56,63.69,25848200,GAS,stock
2021-09,63.55,70.1,61.48,69.11,23350900,GAS,stock
2021-10,68.39,91.48,68.32,88.7,48054300,GAS,stock
2021-11,88.77,90.48,69.53,70.03,32378100,GAS,stock
2021-12,69.53,71.32,64.83,68.54,19133100,GAS,stock
2022-01,69.04,81.86,69.04,77.66,22046100,GAS,stock
2022-02,81.08,87.27,78.37,84.07,17059700,GAS,stock
2022-03,84.78,89.63,72.67,77.16,22648600,GAS,stock
2022-04,76.8,84.07,69.89,75.52,15597200,GAS,stock
2022-05,76.66,83.85,66.97,83.85,14696000,GAS,stock
2022-06,84.57,95.47,78.37,82.29,36395400,GAS,stock
2022-07,81.79,82.5,67.77,78.67,16105600,GAS,stock
2022-08,78.67,87.82,77.36,85.7,12317600,GAS,stock
2022-09,85.11,86.21,74.21,80.5,8354306,GAS,stock
2022-10,79.77,82.84,74.65,81.31,7534685,GAS,stock
2022-11,81.53,87.82,76.11,80.65,7746556,GAS,stock
2022-12,81.97,83.14,74.06,74.28,7382563,GAS,stock
2023-01,74.65,80.65,74.57,77.79,3896722,GAS,stock
2023-02,78.23,80.94,75.38,75.75,4826794,GAS,stock
2023-03,75.53,79.4,74.5,74.65,4196432,GAS,stock
2023-04,75.82,75.96,67.04,67.91,6186524,GAS,stock
2023-05,67.4,69.96,67.04,67.91,7796380,GAS,stock
2023-06,68.43,71.57,67.33,68.06,14517980,GAS,stock
2023-07,68.65,75.09,68.5,74.35,14239622,GAS,stock
2023-08,74.87,76.59,71.43,74.77,12014978,GAS,stock
2023-09,75.98,84.85,74.84,82.54,11892218,GAS,stock
2023-10,82.36,82.36,68.7,69.71,12402182,GAS,stock
2023-11,70.53,73.44,68.98,69.61,11267684,GAS,stock
2023-12,70.07,72.71,67.52,68.7,15416815,GAS,stock
2024-01,68.98,70.8,68.25,68.61,16287387,GAS,stock
2024-02,68.7,72.53,68.34,70.43,17243159,GAS,stock
2024-03,70.8,75.44,70.34,72.98,30880301,GAS,stock
2024-04,72.98,75.89,66.89,66.89,16809978,GAS,stock
2024-05,66.43,76.9,66.43,72.89,32860675,GAS,stock
2024-06,73.62,74.8,69.25,69.71,26101921,GAS,stock
2024-07,69.8,73.26,69.43,72.71,23169737,GAS,stock
