date,nav_per_unit,short_name
2023-05-11,54277.9,DCDS
2023-05-12,54350.87,DCDS
2023-05-15,54974.91,DCDS
2023-05-16,54596.33,DCDS
2023-05-17,54669.03,DCDS
2023-05-18,54096.77,DCDS
2023-05-19,54471.82,DCDS
2023-05-22,54710.55,DCDS
2023-05-23,55077.99,DCDS
2023-05-24,54927.43,DCDS
2023-05-25,54644.79,DCDS
2023-05-26,54610.51,DCDS
2023-05-29,54708.16,DCDS
2023-05-30,55418.75,DCDS
2023-05-31,56000.32,DCDS
2023-06-01,55818.26,DCDS
2023-06-02,56103.57,DCDS
2023-06-05,56720.56,DCDS
2023-06-06,56724.67,DCDS
2023-06-07,57389.23,DCDS
2023-06-08,57758.69,DCDS
2023-06-09,56881.42,DCDS
2023-06-12,57529.95,DCDS
2023-06-13,58016.52,DCDS
2023-06-14,58233.15,DCDS
2023-06-15,57776.78,DCDS
2023-06-16,57980.83,DCDS
2023-06-19,58061.72,DCDS
2023-06-20,57897.1,DCDS
2023-06-21,58622.47,DCDS
2023-06-22,59186.55,DCDS
2023-06-23,59638.01,DCDS
2023-06-26,59626.86,DCDS
2023-06-27,59755.59,DCDS
2023-06-28,59918.8,DCDS
2023-06-29,60022.24,DCDS
2023-06-30,59027.43,DCDS
2023-07-03,59090.99,DCDS
2023-07-04,59321.02,DCDS
2023-07-05,59943.13,DCDS
2023-07-06,60121.27,DCDS
2023-07-07,59624.64,DCDS
2023-07-10,60527.34,DCDS
2023-07-11,61102.02,DCDS
2023-07-12,61234.62,DCDS
2023-07-13,61355.27,DCDS
2023-07-14,62066.76,DCDS
2023-07-17,62389.28,DCDS
2023-07-18,62495.58,DCDS
2023-07-19,62452.41,DCDS
2023-07-20,62374.33,DCDS
2023-07-21,62599.87,DCDS
2023-07-24,63783.41,DCDS
2023-07-25,64136.49,DCDS
2023-07-26,64162.49,DCDS
2023-07-27,64410.99,DCDS
2023-07-28,64493.46,DCDS
2023-07-31,65144.15,DCDS
2023-08-01,65619.23,DCDS
2023-08-02,64736.09,DCDS
2023-08-03,65096.32,DCDS
2023-08-04,64745.63,DCDS
2023-08-07,65571.44,DCDS
2023-08-08,66302.91,DCDS
2023-08-09,65887.7,DCDS
2023-08-10,65545.36,DCDS
2023-08-11,64573.31,DCDS
2023-08-14,65251.23,DCDS
2023-08-15,65918.39,DCDS
2023-08-16,65876.18,DCDS
2023-08-17,66186.98,DCDS
2023-08-18,65845.97,DCDS
2023-08-21,62590.01,DCDS
2023-08-22,62700.48,DCDS
2023-08-23,63184.31,DCDS
2023-08-24,62613.37,DCDS
2023-08-25,64179.56,DCDS
2023-08-28,64201.58,DCDS
2023-08-29,65554.23,DCDS
2023-08-30,65961.99,DCDS
2023-08-31,67055.43,DCDS
2023-09-05,67778.38,DCDS
2023-09-06,68245.25,DCDS
2023-09-07,69204.87,DCDS
2023-09-08,69045.8,DCDS
2023-09-11,69282.16,DCDS
2023-09-12,68062.92,DCDS
2023-09-13,69697.18,DCDS
2023-09-14,69394.88,DCDS
2023-09-15,68516.88,DCDS
2023-09-18,68864.63,DCDS
2023-09-19,68339.8,DCDS
2023-09-20,68927.08,DCDS
2023-09-21,69894.28,DCDS
2023-09-22,68778.84,DCDS
2023-09-25,67209.64,DCDS
2023-09-26,64411.45,DCDS
2023-09-27,63614.06,DCDS
2023-09-28,65110.46,DCDS
2023-09-29,65235.03,DCDS
2023-10-02,65011.48,DCDS
2023-10-03,65174.04,DCDS
2023-10-04,62666.55,DCDS
2023-10-05,63722.18,DCDS
2023-10-06,62814.06,DCDS
2023-10-09,63953.11,DCDS
2023-10-10,64919.46,DCDS
2023-10-11,65007.51,DCDS
2023-10-12,65896.0,DCDS
2023-10-13,65848.83,DCDS
2023-10-16,66356.2,DCDS
2023-10-17,65531.58,DCDS
2023-10-18,63180.88,DCDS
